Candidate,Optimization Score,Similar Molecule,Distance,DFT Energy,ML Energy,Energy Error,DFT Dipole,ML Dipole,Dipole Error,DFT HOMO,ML HOMO,HOMO Error,DFT LUMO,ML LUMO,LUMO Error,DFT Gap,ML Gap,Gap Error,DFT Polarizability,ML Polarizability,Polarizability Error
1,-22.18,Etanol (CCO),1.2806,-181.8906,-176.8429,2.77,4.2073,4.1068,2.39,-0.2113,-0.1558,26.58,0.1461,0.1725,18.07,0.3574,0.3284,8.12,8.0583,4.3168,46.43
2,-16.93,Benceno (c1ccccc1),0.8118,-1.5260,-12.3921,712.06,3.6101,0.9197,74.52,-0.3522,-0.0890,74.72,0.1317,0.0306,76.76,0.4839,0.1196,75.29,3.0232,-0.2244,107.42
3,-223.72,Bencenosulfonamida,2.7290,-126.8066,-164.0620,29.38,7.1394,5.0458,29.33,-0.2432,-0.2067,15.00,0.0518,0.0294,43.24,0.2951,0.2361,20.00,14.7928,13.5226,8.59
4,-21.76,Isopropanol (CC(C)O),1.4904,-189.7906,-124.7869,34.25,2.0553,1.4402,29.93,-0.1716,-0.0845,50.76,-0.0605,-0.1828,202.15,0.1111,0.0983,11.53,25.0000,16.2974,34.81
5,-17.52,Éter dimetílico (COCC),1.1610,-189.7906,-195.3763,2.94,2.0553,1.5562,24.31,-0.1716,-0.1711,0.29,-0.0605,-0.0945,56.20,0.1111,0.0766,31.02,25.0000,22.9566,8.17
6,-20.01,Acetona (CC(=O)C),1.7508,-189.7906,-212.4452,11.94,2.0553,1.5471,24.73,-0.1716,-0.1691,1.45,-0.0605,-0.1294,113.88,0.1111,0.0396,64.36,25.0000,24.9950,0.02
7,-21.61,Benceno (c1ccccc1),2.7403,-0.8014,-78.4853,9693.46,0.5111,0.1429,72.03,-0.4899,-0.1023,79.12,0.1437,0.0306,78.71,0.6335,0.1329,79.03,0.8148,6.4022,686.97
8,-22.69,Agua (O),1.8347,-45.3901,-52.8698,16.48,3.2426,2.7482,15.30,-0.4742,-0.3808,19.69,0.1138,0.0067,94.08,0.5880,0.3350,43.03,3.0475,19.2738,532.45
9,-13.59,Etanol (CCO),1.3642,-151.1495,-198.9275,31.61,2.3379,2.3464,0.37,-0.1711,-0.1998,16.80,-0.1290,0.0985,176.30,0.0420,0.4542,980.99,17.5000,22.0771,26.15
10,-16.20,Éter dimetílico (COCC),2.0066,-189.7906,-176.8429,6.82,2.0553,2.5609,24.60,-0.1716,-0.1856,8.16,-0.0605,-0.0406,32.89,0.1111,0.1194,7.47,25.0000,21.5701,13.72
11,-21.96,CCO,2.1531,-151.1495,-176.8429,17.00,2.3379,2.8021,19.86,-0.1711,-0.1856,8.49,-0.1290,-0.0406,68.57,0.0420,0.1194,184.25,17.5000,18.3321,4.75
12,-14.89,CC(C)OC,3.0555,-228.3243,-195.3763,14.43,2.4786,2.3880,3.66,-0.1580,-0.3870,144.92,-0.1131,0.0863,176.31,0.0449,0.4894,989.35,32.5000,24.2106,25.51
13,-21.07,c1ccccc1,1.3912,-0.8014,-78.4853,9693.46,0.5111,0.7089,38.69,-0.4899,-0.1069,78.17,0.1437,0.0400,72.17,0.6335,0.1525,75.93,0.8148,6.0167,638.43
14,-25.38,CO,1.6578,-125.2826,-182.5067,45.68,2.8446,2.7278,4.11,-0.2560,-0.1646,35.69,0.0803,-0.0689,185.81,0.3363,0.0753,77.61,4.3642,20.9110,379.15
15,-16.90,CC(C)OC,2.9907,-228.3243,-209.9452,8.05,2.4786,2.5842,4.26,-0.1580,-0.2624,66.04,-0.1131,-0.0519,54.09,0.0449,0.2174,384.01,32.5000,24.8882,23.42
16,-14.00,CO,1.7520,-125.2826,-103.4703,17.41,2.8446,2.4464,14.00,-0.2560,-0.3526,37.74,0.0803,-0.0039,104.82,0.3363,0.2224,33.88,4.3642,15.1048,246.11
17,-14.65,COCC,4.3041,-189.7906,-156.6040,17.49,2.0553,2.0538,0.08,-0.1716,-0.2964,72.73,-0.0605,-0.0401,33.77,0.1111,0.2669,140.14,25.0000,19.7186,21.13
